feature,group,importance_gain,importance_split,drift_risk,leakage_risk,needs_oof,decision,notes
prop_location_score2,raw,1694100,3570,LOW,NONE,NO,keep,
prop_dest_book_rate,hotel_agg_TE_cross,829144,3472,HIGH,MED,YES,TEST_HIGHER_SMOOTHING,"Cross-key TE on rare (prop,dest)/(site,dest) pairs. High overfit risk; P5 will sweep prior_weight."
location2_rank_norm,listwise_within_query,807632,2844,LOW,LOW,NO,keep,Computed within srch_id. Pure rank/relative features.
prop_click_rate,hotel_agg_TE_single,645998,2598,MED,LOW,YES,keep,Single-key TE with kfold OOF. Generally safe.
price_vs_prop_mean,listwise_within_query,639222,2774,LOW,LOW,NO,keep,Computed within srch_id. Pure rank/relative features.
prop_price_zscore,hotel_agg_price_stat,582003,2868,LOW,LOW,YES,keep,Per-prop price stats (OOF). Safe.
prop_avg_position,hotel_agg_position,512985,3650,HIGH,HIGH,YES,TEST_DROP,"Encodes position bias. Even with OOF kfold, position info still leaks via prop-id average. Test drop in P4."
location2_rank,listwise_within_query,488956,1733,LOW,LOW,NO,keep,Computed within srch_id. Pure rank/relative features.
value_score_rank,listwise_within_query,440740,1611,LOW,LOW,NO,keep,Computed within srch_id. Pure rank/relative features.
price_ratio_to_hist,price,424029,3821,LOW,LOW,NO,keep,
prop_rel_rate,hotel_agg_TE_single,341395,2104,MED,LOW,YES,keep,Single-key TE with kfold OOF. Generally safe.
loc2_vs_mean,listwise_within_query,332543,3049,LOW,LOW,NO,keep,Computed within srch_id. Pure rank/relative features.
price_z_score,listwise_within_query,330339,2470,LOW,LOW,NO,keep,Computed within srch_id. Pure rank/relative features.
price_diff_from_hist,price,311055,3233,LOW,LOW,NO,keep,
price_vs_median,listwise_within_query,281379,2147,LOW,LOW,NO,keep,Computed within srch_id. Pure rank/relative features.
price_rank,listwise_within_query,276734,1238,LOW,LOW,NO,keep,Computed within srch_id. Pure rank/relative features.
prop_site_book_rate,hotel_agg_TE_cross,261074,2854,HIGH,MED,YES,TEST_HIGHER_SMOOTHING,"Cross-key TE on rare (prop,dest)/(site,dest) pairs. High overfit risk; P5 will sweep prior_weight."
dest_count,hotel_agg_count,251612,2417,MED,LOW,NO,keep,Counts; cold-start prop_id/dest_id fall back to 0 — possible undersignal for rare entities.
prop_location_score1,raw,229192,2230,LOW,NONE,NO,keep,
value_score_rank_norm,listwise_within_query,222989,2040,LOW,LOW,NO,keep,Computed within srch_id. Pure rank/relative features.
loc1_vs_mean,listwise_within_query,215595,2729,LOW,LOW,NO,keep,Computed within srch_id. Pure rank/relative features.
promo_x_cheap,interaction,207313,1353,LOW,LOW,NO,keep,
price_vs_mean,listwise_within_query,204751,1862,LOW,LOW,NO,keep,Computed within srch_id. Pure rank/relative features.
review_vs_mean,listwise_within_query,199353,2306,LOW,LOW,NO,keep,Computed within srch_id. Pure rank/relative features.
location_total,quality,189036,2127,LOW,LOW,NO,keep,
review_percentile,listwise_within_query,183233,2166,LOW,LOW,NO,keep,Computed within srch_id. Pure rank/relative features.
log_price_z_score,listwise_within_query,181823,1762,LOW,LOW,NO,keep,Computed within srch_id. Pure rank/relative features.
query_hotel_count,listwise_within_query,177461,1360,LOW,LOW,NO,keep,Computed within srch_id. Pure rank/relative features.
prop_count,hotel_agg_count,176501,2379,MED,LOW,NO,keep,Counts; cold-start prop_id/dest_id fall back to 0 — possible undersignal for rare entities.
orig_destination_distance,raw,175459,2677,LOW,NONE,NO,keep,
prop_click_count,hotel_agg_TE_count,162104,1482,MED,LOW,NO,keep,Raw click count per prop_id. No leakage in itself; drift risk because cold-start props get 0.
prop_std_price,hotel_agg_price_stat,159830,2249,LOW,LOW,YES,keep,Per-prop price stats (OOF). Safe.
price_per_night_per_star,interaction,158890,2150,LOW,LOW,NO,keep,
price_vs_dest_mean,listwise_within_query,155944,2003,LOW,LOW,NO,keep,Computed within srch_id. Pure rank/relative features.
query_star_mean,listwise_within_query,153238,2014,LOW,LOW,NO,keep,Computed within srch_id. Pure rank/relative features.
prop_mean_price,hotel_agg_price_stat,147949,1906,LOW,LOW,YES,keep,Per-prop price stats (OOF). Safe.
price_per_night,price,145272,2051,LOW,LOW,NO,keep,
prop_book_rate,hotel_agg_TE_single,143262,1904,MED,LOW,YES,keep,Single-key TE with kfold OOF. Generally safe.
price_vs_max,listwise_within_query,137321,1983,LOW,LOW,NO,keep,Computed within srch_id. Pure rank/relative features.
dest_click_rate,hotel_agg_TE_single,136184,2028,MED,LOW,YES,keep,Single-key TE with kfold OOF. Generally safe.
review_vs_dest_mean,listwise_within_query,135471,1890,LOW,LOW,NO,keep,Computed within srch_id. Pure rank/relative features.
quality_rank_avg,listwise_within_query,134722,2003,LOW,LOW,NO,keep,Computed within srch_id. Pure rank/relative features.
total_cost,price,132905,2000,LOW,LOW,NO,keep,
price_per_guest,interaction,132788,2045,LOW,LOW,NO,keep,
srch_booking_window,raw,132341,1930,LOW,NONE,NO,keep,
prop_book_given_click,hotel_agg_TE_book_given_click,129315,2012,MED,MED,YES,keep,Smoothed book-given-click rate per prop. OOF kfold.
dest_mean_price,hotel_agg_dest_stat,128450,1838,LOW,LOW,YES,keep,
price_percentile,listwise_within_query,127043,1474,LOW,LOW,NO,keep,Computed within srch_id. Pure rank/relative features.
price_to_min_ratio,listwise_within_query,124966,1801,LOW,LOW,NO,keep,Computed within srch_id. Pure rank/relative features.
dest_mean_star,hotel_agg_dest_stat,122178,1730,LOW,LOW,YES,keep,
value_score,quality,121355,1650,LOW,LOW,NO,keep,
location_total_rank_norm,listwise_within_query,120731,1819,LOW,LOW,NO,keep,Computed within srch_id. Pure rank/relative features.
review_rank_norm,listwise_within_query,119801,1634,LOW,LOW,NO,keep,Computed within srch_id. Pure rank/relative features.
dest_book_rate,hotel_agg_TE_single,119564,1836,MED,LOW,YES,keep,Single-key TE with kfold OOF. Generally safe.
star_vs_mean,listwise_within_query,114611,1513,LOW,LOW,NO,keep,Computed within srch_id. Pure rank/relative features.
dest_mean_review,hotel_agg_dest_stat,111051,1702,LOW,LOW,YES,keep,
query_price_std,listwise_within_query,109383,1669,LOW,LOW,NO,keep,Computed within srch_id. Pure rank/relative features.
location1_rank_norm,listwise_within_query,108287,1683,LOW,LOW,NO,keep,Computed within srch_id. Pure rank/relative features.
